SDP Name,City,Yr,Revenue,Products,Invoices
ENERGIA PHARMA SERVICES NV,ENERGIA PHARMA SERVICES NV,2025.0,10852.81,13,25
EXECUTIVE DIRECTOR P.I.M.H. LAHORE,EXECUTIVE DIRECTOR P.I.M.H. LAHORE,2025.0,0.0,3,6
FAISAL PHARMA,FAISAL PHARMA,2024.0,921378.55,36,61
FAISAL PHARMA,FAISAL PHARMA,2025.0,228525.45,8,13
FAISALABAD INST.OF CARDIOLOGY,FAISALABAD INST.OF CARDIOLOGY,2025.0,0.0,3,14
FAMOUS DISTRIBUTORS - FAISALABAD,Faisalabad,2024.0,0.0,11,59
FAMOUS DISTRIBUTORS - FAISALABAD,Faisalabad,2025.0,0.0,9,67
FATMIYAH HOSP. C/O REMEDIAL ENTERPR,FATMIYAH HOSP. C/O REMEDIAL ENTERPR,2024.0,691209.9,6,30
FATMIYAH HOSP. C/O REMEDIAL ENTERPR,FATMIYAH HOSP. C/O REMEDIAL ENTERPR,2025.0,790821.98,5,39
FAUJI FOUNDATION HOSP. LAHORE,FAUJI FOUNDATION HOSP. LAHORE,2025.0,475479.41,8,9
FAUJI FOUNDATION HOSP. PESHAWAR,FAUJI FOUNDATION HOSP. PESHAWAR,2025.0,249425.5,9,9
FAUJI FOUNDATION HOSP. RAWALPINDI,FAUJI FOUNDATION HOSP. RAWALPINDI,2025.0,1589011.7,23,25
FEROZSONS LABORTORIES LTD,FEROZSONS LABORTORIES LTD,2024.0,0.0,1,1
FEROZSONS LABORTORIES LTD,FEROZSONS LABORTORIES LTD,2025.0,0.0,1,1
FINE TRADERS - LAHORE,Lahore,2024.0,295580.0,18,82
FINE TRADERS - LAHORE,Lahore,2025.0,0.0,10,86
FRIENDS ENT. - FAISALABAD,Faisalabad,2024.0,142663.05,4,5
FRIENDS ENTERPRISES - AJK,Ajk,2024.0,10953805.35,35,338
FRIENDS ENTERPRISES - AJK,Ajk,2025.0,7824260.85,81,228
GOVT GEN HOSP (FSD TEACHING HOSP),GOVT GEN HOSP (FSD TEACHING HOSP),2025.0,0.0,3,5
Globe Pharmacy Ltd.,Globe Pharmacy Ltd.,2024.0,0.0,3,4
Globe Pharmacy Ltd.,Globe Pharmacy Ltd.,2025.0,0.0,3,6
HAFIZ MEDICINE COMPANY - SARGODHA,Sargodha,2024.0,0.0,12,27
HAFIZ MEDICINE COMPANY - SARGODHA,Sargodha,2025.0,0.0,6,50
HAQ ENTERPRISES,HAQ ENTERPRISES,2024.0,0.0,3,49
HAQ ENTERPRISES,HAQ ENTERPRISES,2025.0,0.0,3,38
HARLEY'S LIMITED,HARLEY'S LIMITED,2024.0,8855.06,7,41
HARLEY'S LIMITED,HARLEY'S LIMITED,2025.0,2955.45,7,19
HARLEY'S LIMITED BURUNDI,HARLEY'S LIMITED BURUNDI,2024.0,0.0,2,2
HAROON ENTERPRISES - PESHAWAR,Peshawar,2024.0,12619151.17,129,1083
HAROON ENTERPRISES - PESHAWAR,Peshawar,2025.0,17042845.1,107,881
HASSAAN DISTRIBUTION,HASSAAN DISTRIBUTION,2025.0,115092.59999999999,3,3
HATAY PHARMACEUTICAL JOINT CO.,HATAY PHARMACEUTICAL JOINT CO.,2024.0,0.0,1,3
HAZZ INTERNATIONAL - KARACHI,Karachi,2024.0,921312.08,25,350
HAZZ INTERNATIONAL - KARACHI,Karachi,2025.0,472883.56000000006,23,401
HEALTH CARE ENTERPRISES,HEALTH CARE ENTERPRISES,2024.0,6809399.69,48,228
HEALTH CARE ENTERPRISES,HEALTH CARE ENTERPRISES,2025.0,5214237.79,30,123
HEALTH RESOURCES DISTRIBUTORS - RWP,Rwp,2024.0,0.0,13,17
HEALTH RESOURCES DISTRIBUTORS - RWP,Rwp,2025.0,0.0,5,6
HEALTHLINK ENTERPRISES,HEALTHLINK ENTERPRISES,2024.0,6474827.4,144,882
HEALTHLINK ENTERPRISES,HEALTHLINK ENTERPRISES,2025.0,15680290.7,149,1669
HILTON PHARMA,HILTON PHARMA,2025.0,0.0,1,1
HOPE & HEALTH MEDICAL STORE,HOPE & HEALTH MEDICAL STORE,2024.0,0.0,5,29
HOPE & HEALTH MEDICAL STORE,HOPE & HEALTH MEDICAL STORE,2025.0,0.0,5,19
Helix Pharma (Pvt.) Ltd.,Helix Pharma (Pvt.) Ltd.,2024.0,0.0,1,2
Helix Pharma (Pvt.) Ltd.,Helix Pharma (Pvt.) Ltd.,2025.0,0.0,2,7
IBRAHIM & SONS - CHEMIST & DRUGGIST,Chemist & Druggist,2025.0,0.0,2,12
IBS PHARMA DISTRIBUTORS-RAWALPINDI,Rawalpindi,2025.0,0.0,3,6
IDL PHARMA DISTRIBUTOR LAHORE,IDL PHARMA DISTRIBUTOR LAHORE,2024.0,0.0,5,93
IDL PHARMA DISTRIBUTOR LAHORE,IDL PHARMA DISTRIBUTOR LAHORE,2025.0,0.0,5,146
INACTIVE - NUSRAT PHARMA,Nusrat Pharma,2024.0,23708917.19,159,670
INACTIVE - TAURAS MEDICAL COMPANY,Tauras Medical Company,2024.0,2201069.09,127,200
INDUS PHARMA (PVT) LTD,INDUS PHARMA (PVT) LTD,2025.0,0.0,2,2
ITMG SEA CO. LTD,ITMG SEA CO. LTD,2024.0,2009.6100000000001,8,18
ITMG SEA CO. LTD,ITMG SEA CO. LTD,2025.0,7520.17,11,16
ITTEFAQ MEDICAL STORE-QUETTA,Quetta,2024.0,0.0,1,3
JADE E SERVICES PAKISTAN (PVT) LTD,JADE E SERVICES PAKISTAN (PVT) LTD,2024.0,214793.41,33,396
JADE E SERVICES PAKISTAN (PVT) LTD,JADE E SERVICES PAKISTAN (PVT) LTD,2025.0,581839.5,34,565
JAMIL TRADERS,JAMIL TRADERS,2024.0,4549988.13,64,215
JAMIL TRADERS,JAMIL TRADERS,2025.0,6228102.0,73,252
JINDANI TRADERS,JINDANI TRADERS,2024.0,3706124.36,75,280
JINDANI TRADERS,JINDANI TRADERS,2025.0,3149825.25,71,309
JUNAID MEDICOSE DISTRIBUTORS,JUNAID MEDICOSE DISTRIBUTORS,2024.0,0.0,5,218
JUNAID MEDICOSE DISTRIBUTORS,JUNAID MEDICOSE DISTRIBUTORS,2025.0,0.0,6,235
KARACHI MEDICAL COMPANY,KARACHI MEDICAL COMPANY,2024.0,78100.0,6,7
KER SOCIEDAD ANONIMA,KER SOCIEDAD ANONIMA,2024.0,44370.84,71,252
KER SOCIEDAD ANONIMA,KER SOCIEDAD ANONIMA,2025.0,8139.95,64,205
KER SOCIEDAD ANONIMA-HONDURAS,Honduras,2025.0,3916.0299999999997,18,18
KHAN SEHAT LTD,KHAN SEHAT LTD,2024.0,0.0,1,3
KHAN SEHAT LTD - AFG,Afg,2024.0,1986113.4,76,629
KHAN SEHAT LTD - AFG,Afg,2025.0,824879.25,61,391
KHURRAM TRADERS - SIALKOT,Sialkot,2024.0,20835.0,12,19
KHURRAM TRADERS - SIALKOT,Sialkot,2025.0,0.0,9,39
LABOREX KENYA LIMITED,LABOREX KENYA LIMITED,2025.0,154.27000000000004,11,26
"LIAQUAT NATIONAL HOSPITAL, KARACHI","LIAQUAT NATIONAL HOSPITAL, KARACHI",2024.0,0.0,2,11
