SDP Name,Rev2024,Rev2025,Mo2024,Mo2025,Inv2024,Inv2025,Churned,RevGrowth,MoGrowth,InvGrowth,ChurnProb,RiskLevel
PRIME PHARMA COMPANY,12374.0,904.0,7.0,2.0,7.0,1.0,0,-92.69435914013253,-5.0,-85.71428571428571,0.07,🟢 Low
PAKISTAN VACCINE HOUSE,104476.0,0.0,12.0,12.0,3.0,0.0,0,-100.0,0.0,-100.0,0.07,🟢 Low
S.K. DISTRIBUTOR - ISLAMABAD,44419.0,0.0,4.0,7.0,2.0,0.0,0,-100.0,3.0,-100.0,0.06,🟢 Low
SCILIFE PHARMA (PVT.) LTD,0.0,0.0,5.0,4.0,0.0,0.0,0,0.0,-1.0,0.0,0.06,🟢 Low
FINE TRADERS - LAHORE,295580.0,0.0,11.0,12.0,7.0,0.0,0,-100.0,1.0,-100.0,0.06,🟢 Low
ORAH LIFE (PVT) LTD.,3576095.0,286057.0,7.0,1.0,504.0,72.0,0,-92.00085568196594,-6.0,-85.71428571428571,0.05,🟢 Low
A.K. ENTERPRISES - KARACHI,104476.0,0.0,10.0,12.0,6.0,0.0,0,-100.0,2.0,-100.0,0.05,🟢 Low
BAHRIA PHARMACY,454138.0,122320.0,3.0,2.0,7.0,2.0,0,-73.06545587464603,-1.0,-71.42857142857143,0.05,🟢 Low
PULSE CARE TRADERS,99992376.0,49168945.0,12.0,5.0,2903.0,1250.0,0,-50.82730607381507,-7.0,-56.94109541853255,0.04,🟢 Low
NAJAM BROTHERS - QUETTA,12084.0,0.0,4.0,9.0,1.0,0.0,0,-100.0,5.0,-100.0,0.04,🟢 Low
RAWALPINDI INSTITUTE OF CARDIOLOGY,0.0,1025678.0,3.0,2.0,0.0,4.0,0,102567800.0,-1.0,400.0,0.04,🟢 Low
KHURRAM TRADERS - SIALKOT,20835.0,0.0,3.0,11.0,1.0,0.0,0,-100.0,8.0,-100.0,0.04,🟢 Low
Peshawar Institute of Cardiology,737265.0,385160.0,10.0,2.0,17.0,7.0,0,-47.75826873647874,-8.0,-58.82352941176471,0.04,🟢 Low
LIFE SUPPORT PVT LTD,11835.0,1282.0,3.0,2.0,11.0,7.0,0,-89.16772285593578,-1.0,-36.36363636363637,0.03,🟢 Low
AL RABIE SCIENTIFIC BUREAU,2110.0,1246.0,5.0,2.0,2.0,2.0,0,-40.9478672985782,-3.0,0.0,0.03,🟢 Low
NEW TAMEER ENTERPRISES,2185019.0,1839473.0,11.0,4.0,176.0,38.0,0,-15.814324726695741,-7.0,-78.4090909090909,0.03,🟢 Low
RIZWAN MEDICINE COMPANY,707527.0,0.0,12.0,12.0,76.0,70.0,0,-100.0,0.0,-7.894736842105263,0.03,🟢 Low
LIFE PHARMA - QATAR,3528.0,4365.0,6.0,2.0,7.0,4.0,0,23.72448979591837,-4.0,-42.857142857142854,0.02,🟢 Low
CROWN PHARMACEUTICALS (PVT) LTD,0.0,0.0,12.0,9.0,13.0,10.0,0,0.0,-3.0,-23.076923076923077,0.02,🟢 Low
Helix Pharma (Pvt.) Ltd.,0.0,0.0,2.0,5.0,0.0,0.0,0,0.0,3.0,0.0,0.01,🟢 Low
ENERGIA PHARMA SERVICES NV,32143.0,10852.0,6.0,3.0,6.0,11.0,0,-66.238372273901,-3.0,83.33333333333334,0.01,🟢 Low
TFMF PHARMA DISTRIBUTOR,5173152.0,430884.0,8.0,3.0,227.0,57.0,0,-91.6707647484551,-5.0,-74.8898678414097,0.01,🟢 Low
MS Teaching Hosp. DG Khan,0.0,0.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.01,🟢 Low
PHARMATEC PAKISTAN (PVT) LTD.,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.01,🟢 Low
EASA BUSINESS GROUP,0.0,0.0,10.0,4.0,6.0,3.0,0,0.0,-6.0,-50.0,0.01,🟢 Low
P.E.S.S.I LAHORE,1587624.0,468001.0,5.0,3.0,13.0,10.0,0,-70.52192458667795,-2.0,-23.076923076923077,0.01,🟢 Low
CIC HOLDINGS PLC,76971.0,85382.0,12.0,11.0,52.0,70.0,0,10.92749217237661,-1.0,34.61538461538461,0.01,🟢 Low
MEDDEC LLC,2352.0,705.0,1.0,2.0,2.0,5.0,0,-70.02551020408163,1.0,150.0,0.01,🟢 Low
FEROZSONS LABORTORIES LTD,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.01,🟢 Low
AL-KHAIR PHARMA - LAHORE,0.0,0.0,3.0,4.0,2.0,3.0,0,0.0,1.0,50.0,0.01,🟢 Low
CANCER CARE PHARMACY,0.0,0.0,12.0,10.0,9.0,9.0,0,0.0,-2.0,0.0,0.01,🟢 Low
ASIAN CONTINENTAL (PVT) LIMITED,0.0,0.0,12.0,12.0,0.0,0.0,0,0.0,0.0,0.0,0.0,
ALLONS ENTERPRISES,0.0,315684.0,0.0,7.0,0.0,43.0,0,31568400.0,7.0,4300.0,0.0,
CEO DHA LAYYAH,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA LAHORE,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA KHUSHAB,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,
CEO DHA KHANEWAL,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA KASUR,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA JHELUM,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA JHANG,0.0,4118.0,0.0,1.0,0.0,1.0,0,411800.0,1.0,100.0,0.0,
CEO DHA HAFIZABAD,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA GUJRANWALA,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA FAISALABAD,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA D.G.KHAN,0.0,43810.0,0.0,2.0,0.0,1.0,0,4381000.0,2.0,100.0,0.0,
CEO DHA CHINIOT,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA CHAKWAL,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,
