Product,Y2022,Y2023,Y2024,Y2025
EMPA-M TAB. 12.5/500MG CP (KEN) 14'S,0.0,0.0,17073.44,22819.440000000002
EMPAFLOZIN TAB. 10MG CP (SN) 4X7'S,0.0,0.0,1455.0,3300.0
EMPAFLOZIN TAB. 25MG CP (SN) 4X7'S,0.0,0.0,2548.0,2860.0
ERLI PLUS TAB. 12.5/1000MG CP (IQ) 4X7'S,7350.63,49708.479999999996,183545.6,30163.2
ERLI PLUS TAB. 12.5/1000MG CP 2X7'S,0.0,2077574.84,13095903.82,25133760.41
ERLI PLUS TAB. 12.5/500MG CP 2X7'S,0.0,5024175.76,19134555.74,42130054.17
ERLI PLUS TAB. 12.5/850MG CP (IQ) 4X7'S,3525.5999999999995,4272.44,34540.44,5278.5
ERLI PLUS TAB. 12.5/850MG CP 2X7'S,0.0,5059871.96,11696525.39,17802017.81
ERLI PLUS TAB. 5/1000MG CP (IQ) 4X7’S,2770.95,0.0,34884.2,2360.4
ERLI PLUS TAB. 5/1000MG CP 2X7'S,0.0,954088.04,1325914.6300000001,2052075.06
ERLI PLUS TAB. 5/500MG CP 2X7'S,0.0,1127091.78,3567394.5,8868970.34
ERLI PLUS TAB. 5/850MG CP (IQ) 28'S,2604.0,0.0,9806.500000000002,2073.5
ERLI PLUS TAB. 5/850MG CP 2X7'S,0.0,926617.02,1002396.93,1765926.1099999999
ERLI PLUS XR TAB 25/1000MG CP (IQ) 4X7'S,0.0,0.0,34044.2,7068.0
ERLI PLUS XR TAB. 10/1000MG CP 2X7'S,5585322.21,13660203.39,15702297.78,19229214.73
ERLI PLUS XR TAB. 12.5/1000MG CP (AFG),0.0,0.0,129400.88,0.0
ERLI PLUS XR TAB. 12.5/1000MG CP (GTM),0.0,0.0,23562.0,28267.2
ERLI PLUS XR TAB. 12.5/1000MG CP 2X7'S,22372911.82,50509159.57,64375470.160000004,68060991.62
ERLI PLUS XR TAB. 12.5/1000MG CP(GTM)2'S,0.0,0.0,5097.2,15214.800000000001
ERLI PLUS XR TAB. 25/1000MG CP (AFG),0.0,0.0,39234.8,0.0
ERLI PLUS XR TAB. 25/1000MG CP 2X7'S,15439571.28,31112488.49,43645694.339999996,55561470.63
ERLI PLUS XR TAB. 5/1000MG CP 2X7'S,3205112.1,7510999.890000001,7606427.96,8052494.13
ERLI PLUS XR TAB.12.5/1000MG CP (IQ)4X7S,0.0,151934.72,381999.2,9937.3
ERLI TAB. 10MG CP (AFG) 2X7'S,0.0,0.0,94403.85,0.0
ERLI TAB. 10MG CP (IQ) 4X7’S,10579.4,13113.4,35012.9,21928.4
ERLI TAB. 10MG CP (KSV) 2X7'S,0.0,0.0,2545.4,0.0
ERLI TAB. 10MG CP 2X7'S,20164576.36,42200231.97,70571037.14,104721870.28
ERLI TAB. 25MG CP (AFG) 2X7'S,0.0,0.0,155062.06,0.0
ERLI TAB. 25MG CP (IQ) 4X7'S,23278.300000000003,15169.82,70402.5,54810.0
ERLI TAB. 25MG CP (KSV) 2X7'S,0.0,0.0,3935.2,0.0
ERLI TAB. 25MG CP 2X7'S,16579895.37,31279974.53,46869433.980000004,69884311.83
ERLINA PLUS XR TAB 5/2.5/1000MG CP 2X7'S,0.0,0.0,1424214.93,2951900.77
ERLINA PLUS XR TAB. 10/5/1000MG CP 2X7'S,0.0,0.0,3852657.88,15123991.35
ERLINA PLUS XR TAB. 12.5/2.5/1000MG CP,0.0,0.0,2170100.64,6265084.91
ERLINA PLUS XR TAB. 25/5/1000MG CP 2X7'S,0.0,0.0,3706685.13,20357691.55
ERLINA PLUS XR TAB25/5/1000MG CP(IQ)4X7,0.0,0.0,0.0,31237.550000000003
ERLINA TAB. 10/5MG CP (IQ) 4X7’S,17925.730000000003,19660.2,108891.12,50312.94
ERLINA TAB. 10/5MG CP (SLK) 4X7'S,0.0,0.0,0.0,8551.4
ERLINA TAB. 10/5MG CP 2X7'S,0.0,18498272.26,53569304.64,76177655.95
ERLINA TAB. 25/5MG CP (IQ) 4X7’S,14007.5,51103.68,132366.06,66366.3
ERLINA TAB. 25/5MG CP 2X7'S,0.0,22983645.78,59712900.91,115263674.42
ESTAR TAB. 10MG CP (AFG) 2X7'S,0.0,0.0,2013229.68,526708.53
ESTAR TAB. 10MG CP (CMB),0.0,0.0,0.0,2629.0
ESTAR TAB. 10MG CP (CMB) 14'S,0.0,389.2,0.0,0.0
ESTAR TAB. 10MG CP (GTM) 2'S,0.0,1478.4,2207.4,1381.05
ESTAR TAB. 10MG CP (GTM) 28'S,0.0,3768.38,4476.78,0.0
ESTAR TAB. 10MG CP (GTM) 98'S,0.0,0.0,3061.8,0.0
ESTAR TAB. 10MG CP (IQ) 4X7'S,4401.1,21510.500000000004,58971.7,0.0
ESTAR TAB. 10MG CP (KEN) 10'S,0.0,0.0,0.0,1812.1600000000003
ESTAR TAB. 10MG CP (MMR),0.0,356.4,0.0,0.0
ESTAR TAB. 10MG CP (TJS) 14'S,0.0,0.0,0.0,510.18
ESTAR TAB. 10MG CP 2X7'S,87195583.39999999,204794152.66,241917879.27,320965540.65
ESTAR TAB. 10MG DGH PUNJ. INST. GR 2X7'S,0.0,0.0,0.0,3204338.3400000003
ESTAR TAB. 10MG INST. PIMH GR. 2X7'S,0.0,0.0,0.0,2209719.81
ESTAR TAB. 20MG CP (AFG) 2X7'S,0.0,0.0,275799.78,263573.13
ESTAR TAB. 20MG CP (GTM) 2'S,0.0,740.4,2235.0,1066.95
