Yr,Mo,ProductName,TeamName,Revenue,Units,Product,RequestorTeams,PromoSpend,Requests
2024,10,BYVAS,LEGENDS,27321864.04588,97056.0,BYVAS,LEGENDS,3506197.7,20
2024,10,DAPWIZ,LEGENDS,8282151.6912,26289.0,DAPWIZ,LEGENDS,558353.7,9
2024,10,DIPOF,MAVERICKS,2999082.8465,13382.0,DIPOF,MAVERICKS,420818.0,8
2024,10,DUZALTA,MAVERICKS,19127883.8285,32913.0,DUZALTA,MAVERICKS,2898663.52,25
2024,10,ERLI,BRAVO,17181045.2707,40386.0,ERLI,BRAVO,285686.0,6
2024,10,ESTAR,MAVERICKS,14732127.953,50081.0,ESTAR,MAVERICKS,1440262.0,2
2024,10,ESTAR,TITANS,35638868.4739,82472.0,ESTAR,TITANS,2321290.8,36
2024,10,EVOKALM,MAVERICKS,8706073.4463,32491.0,EVOKALM,MAVERICKS,1572151.0,5
2024,10,EVOPRIDE,WINNERS,17782999.9844,29898.0,EVOPRIDE,WINNERS,216888.47999999998,8
2024,10,EVOPRIDE PLUS,WINNERS,24737600.3831,57563.0,EVOPRIDE PLUS,WINNERS,900685.0,20
2024,10,FEMOVA,GLADIATORS,15593790.8394,14535.0,FEMOVA,GLADIATORS,1158404.8,18
2024,10,FERFER,GLADIATORS,18573621.8136,24710.0,FERFER,GLADIATORS,4206063.8,46
2024,10,GALVECTA,NAVIGATORS,615568.9521999999,1827.0,GALVECTA,NAVIGATORS,568355.0,3
2024,10,INOSITA,METABOLIZERS,17296132.4685,16736.0,INOSITA,METABOLIZERS,103125.0,1
2024,10,INOSITA PLUS,METABOLIZERS,104261184.3096,100609.0,INOSITA PLUS,METABOLIZERS,4754550.0,30
2024,10,KALSOB,BONE SAVIORS,28402288.7225,45712.0,KALSOB,BONE SAVIORS,1412207.4,14
2024,10,KLEVRA,MAVERICKS,7787642.0498,7701.0,KLEVRA,MAVERICKS,208133.5,4
2024,10,LOWPLAT,CHALLENGERS,80346806.44450001,340505.0,LOWPLAT,CHALLENGERS,1049898.2,12
2024,10,LOWPLAT PLUS,LEGENDS,108663547.9245,430227.0,LOWPLAT PLUS,LEGENDS,4800113.5,33
2024,10,NISE,BONE SAVIORS,84713054.27870001,326680.0,NISE,BONE SAVIORS,2496322.1,32
2024,10,OPT-D,ELITE,35480120.5648,153050.0,OPT-D,ELITE,2221055.5,18
2024,10,ORSLIM,WARRIORS,65034578.39,29933.0,ORSLIM,WARRIORS,3502329.85,34
2024,10,PARIDOPA,TITANS,8304380.9575,5332.0,PARIDOPA,TITANS,189500.0,1
2024,10,RAMIPACE,CHAMPIONS,41464911.0111,66763.0,RAMIPACE,CHAMPIONS,399510.0,4
2024,10,RETZOLE,WARRIORS,3761005.2,2114.0,RETZOLE,WARRIORS,27470.0,1
2024,10,SACVIN,ALPHA,40809606.2787,28871.0,SACVIN,ALPHA,4577264.0,30
2024,10,SHEVIT,WARRIORS,9865360.4636,19933.0,SHEVIT,WARRIORS,3297011.2,28
2024,10,SPARLIV,TITANS,4372389.1002,5551.0,SPARLIV,TITANS,1847989.54,25
2024,10,TELSARTA,NAVIGATORS,8216956.0977,30744.0,TELSARTA,NAVIGATORS,184282.5,6
2024,10,TREATAN,METABOLIZERS,12691682.9192,30595.0,TREATAN,METABOLIZERS,369347.0,9
2024,10,URITREAT,ELITE,1897812.0,2247.0,URITREAT,ELITE,72630.0,1
2024,10,VOXAMINE,TITANS,8235189.0714,17963.0,VOXAMINE,TITANS,396101.1,5
2024,10,XILICA,TITANS,14771605.8093,36559.0,XILICA,TITANS,1769899.8,20
2024,10,ZILERO,CHAMPIONS,928424.7791,1106.0,ZILERO,CHAMPIONS,46760.0,2
2024,11,AGOVIZ,MAVERICKS,3976623.3823,5625.0,AGOVIZ,MAVERICKS,252090.0,4
2024,11,ANPLAG,CHAMPIONS,25933086.907,19040.0,ANPLAG,CHAMPIONS,199100.21,5
2024,11,ARBI,WINNERS,3982957.235,11288.0,ARBI,WINNERS,95200.0,1
2024,11,AVSAR,CHALLENGERS,136971429.3648,301087.0,AVSAR,CHALLENGERS,1331773.0,29
2024,11,AVSAR PLUS,BRAVO,43327250.2431,96342.0,AVSAR PLUS,BRAVO,1470941.58,24
2024,11,BYVAS,LEGENDS,26854905.24218,95258.0,BYVAS,LEGENDS,542939.0,10
2024,11,DAPWIZ,LEGENDS,7993674.5195,24976.0,DAPWIZ,LEGENDS,261885.0,2
2024,11,DIPOF,MAVERICKS,2062945.5861,8854.0,DIPOF,MAVERICKS,121237.5,2
2024,11,DUZALTA,MAVERICKS,18322905.904,31458.0,DUZALTA,MAVERICKS,895302.0,11
2024,11,ERLI,BRAVO,16493386.0557,38754.0,ERLI,BRAVO,439438.3,9
2024,11,ESTAR,MAVERICKS,13533898.0423,45979.0,ESTAR,MAVERICKS,587500.0,4
