City,Yr,Revenue,Qty,Products
MEDICATE  INTERNATIONAL,2024.0,10591749.27,60380.083,71
MEDICATE  INTERNATIONAL,2025.0,10719982.41,63333.08,72
MEDSWANA (PTY) LTD,2024.0,1695.75,969.0,3
MEDSWANA (PTY) LTD,2025.0,0.0,383.0,1
MH INTERNATIONAL GROUP LLC,2024.0,27446.1,1772.0,2
MH INTERNATIONAL GROUP LLC,2025.0,20905.760000000002,7031.0,17
MS CPEIC MULTAN,2024.0,0.0,2357.925,3
MS CPEIC MULTAN,2025.0,12352.4,3495.098,6
MS Teaching Hosp. DG Khan,2024.0,0.0,125.0,2
MS Teaching Hosp. DG Khan,2025.0,0.0,100.0,1
Mandi Bahaudi,2024.0,46515579.1,152603.0,181
Mandi Bahaudi,2025.0,65739061.44,194086.0,175
Mansehra,2024.0,98806705.37,297825.0,195
Mansehra,2025.0,128443735.05,344330.0,192
Mardan,2024.0,161568678.08,508564.0,191
Mardan,2025.0,218894564.5,612838.0,197
Mirpurkhas,2024.0,69320085.35,243521.0,188
Mirpurkhas,2025.0,94244660.3,277550.0,179
Mithi,2025.0,25748169.5,77903.0,160
Multan,2024.0,184168178.3,593143.0,221
Multan,2025.0,230976764.68,667729.0,218
Muzaffarabad,2024.0,94660253.6,287559.0,196
Muzaffarabad,2025.0,107130989.85,290322.0,188
N.G.GROUP,2024.0,0.0,0.0,5
N.G.GROUP,2025.0,0.0,0.0,2
N.S. TRADERS,2024.0,0.0,1217.0,3
N.S. TRADERS,2025.0,0.0,1610.0,2
NABI QASIM INDUSTRIES (PVT) LTD,2024.0,0.0,589.0,4
"NACOPHARM MB CO., LTD",2024.0,263.52000000000004,244.0,1
"NACOPHARM MB CO., LTD",2025.0,0.0,0.0,1
NEW MAJEED MEDICINE CO.,2024.0,100594.78,707.0,3
NEW MAJEED MEDICINE CO.,2025.0,234748.15,1488.0,7
NEW TAMEER ENTERPRISES,2024.0,2185010.44,14242.0,76
NEW TAMEER ENTERPRISES,2025.0,1839472.9,8265.0,30
NOOR ENTERPRISES LAHORE,2024.0,0.0,50.0,2
NOOR ENTERPRISES LAHORE,2025.0,0.0,226.0,3
NOOR MEDICINE COMPANY,2024.0,33018555.89,112986.0,144
NOOR MEDICINE COMPANY,2025.0,42249037.83,126861.0,156
NOVIPHARM ENTERPRISES,2024.0,0.0,391.0,5
NOVIPHARM ENTERPRISES,2025.0,0.0,884.0,6
Narowal,2024.0,35706480.22,114353.0,151
Narowal,2025.0,49222330.78,142741.0,148
Naushero Fero,2024.0,37646125.18,125422.0,156
Naushero Fero,2025.0,52104913.36,156920.0,158
Nawabshah,2024.0,97359879.33,326377.0,197
Nawabshah,2025.0,122133677.35,369164.0,191
Nowshera,2025.0,81836138.27,226170.0,208
Nusrat Pharma,2024.0,23708917.19,71303.0,159
ONCOCARE PHARMACY,2024.0,15321568.73,60966.0,88
ONCOCARE PHARMACY,2025.0,16680455.64,63238.0,85
ONCOLINK PHARMA DISTRIBUTORS,2024.0,0.0,70.0,3
ONCOLINK PHARMA DISTRIBUTORS,2025.0,0.0,215.0,3
ONE TIME BUYER,2024.0,9043101.43,32702.0,198
ONE TIME BUYER,2025.0,11181885.27,37755.0,217
ORAH LIFE (PVT) LTD.,2024.0,3576101.38,7985.0,203
ORAH LIFE (PVT) LTD.,2025.0,286054.26,599.0,83
OTSUKA PAKISTAN LTD,2025.0,0.0,60.0,1
P.E.S.S.I LAHORE,2024.0,1587624.24,8778.0,15
P.E.S.S.I LAHORE,2025.0,468000.75,2810.0,8
PAKISTAN MEDICAL SUPPLY CORP,2024.0,0.0,98.0,5
PAKISTAN MEDICAL SUPPLY CORP,2025.0,0.0,327.0,4
PAKISTAN VACCINE HOUSE,2024.0,104476.79999999999,8089.0,18
PAKISTAN VACCINE HOUSE,2025.0,0.0,10398.0,12
PATIENT'S CARE,2024.0,0.0,116.0,3
PATIENT'S CARE,2025.0,0.0,58.0,2
PHARMA CURE INTERNATIONAL,2025.0,363673.48,1327.0,27
PHARMA SOLUTION,2025.0,5752325.05,17538.0,76
PHARMATEC PAKISTAN (PVT) LTD.,2024.0,0.0,20.0,1
PHARMATEC PAKISTAN (PVT) LTD.,2025.0,0.0,300.0,1
PHARMEVO (PVT) LTD,2025.0,0.0,0.0,1
PRIME PHARMA COMPANY,2024.0,12374.869999999999,5545.0,42
PRIME PHARMA COMPANY,2025.0,904.5,603.0,15
PRIX PHARMA SH.P.K,2024.0,19935.0,443.0,3
PULSE CARE TRADERS,2024.0,99992348.06,301219.0,196
PULSE CARE TRADERS,2025.0,49168926.87,140924.0,183
PUNJAB INSTITUTE OF CARDIOLOGY,2024.0,0.0,5352.0,2
PUNJAB INSTITUTE OF CARDIOLOGY,2025.0,0.0,16649.5,2
PUNJAB UNIVERSITY,2024.0,1967605.39,8243.0,38
PUNJAB UNIVERSITY,2025.0,5134101.99,22824.0,58
Peshawar,2024.0,289235591.65,931211.0,214
Peshawar,2025.0,347711799.2,974470.0,218
Peshawar Institute of Cardiology,2024.0,737264.8,5801.0,9
Peshawar Institute of Cardiology,2025.0,385160.0,2572.0,7
Pharma,2024.0,3180.5,2938.0,20
Qatar,2024.0,3528.0,6476.0,8
Qatar,2025.0,4365.0,1791.0,4
Quetta,2024.0,175305679.44,549565.0,216
Quetta,2025.0,220209481.85,595730.0,208
R.Y.Khan,2024.0,110007523.68,355106.0,207
R.Y.Khan,2025.0,157203958.16,425229.0,201
RATANAK PHARMA CO. LTD,2024.0,0.0,0.0,7
RAWALPINDI INSTITUTE OF CARDIOLOGY,2024.0,0.0,3378.913,5
RAWALPINDI INSTITUTE OF CARDIOLOGY,2025.0,1025678.3999999999,2410.36,11
REHMAN BROTHERS,2024.0,12196.25,61.0,5
REHMAN BROTHERS,2025.0,475375.8,1570.0,11
REHMAN TRADING COMPANY,2024.0,14637216.05,73915.0,74
REHMAN TRADING COMPANY,2025.0,13976782.69,67570.0,89
REMEDIAL ENTERPRISES,2024.0,3400157.45,11497.0,91
REMEDIAL ENTERPRISES,2025.0,1731048.83,4932.0,24
RGS INNOVATIVE HEALTH SCIENCES,2025.0,0.0,14.0,2
RIZWAN MEDICINE COMPANY,2024.0,707527.51,6009.0,35
RIZWAN MEDICINE COMPANY,2025.0,0.0,1628.0,6
Rawalpindi,2024.0,241715615.75,821806.0,220
Rawalpindi,2025.0,298569397.96,863205.0,223
Rwp,2024.0,0.0,1360.0,13
Rwp,2025.0,0.0,462.0,5
S&T CORPORATION,2024.0,875912.0,1879.327,14
S&T CORPORATION,2025.0,1127689.34,8113.54,35
SAHEL PROMO SARL,2024.0,4871.4,345.0,1
SAMI PHARMACEUTICAL (PVT) LTD.,2024.0,0.0,72.0,3
SAMI PHARMACEUTICAL (PVT) LTD.,2025.0,0.0,488.0,10
SAP HEALTH LIMITED COMPANY,2024.0,3298.1899999999996,1975.0,10
SCILIFE PHARMA (PVT.) LTD,2024.0,0.0,25.0,4
SCILIFE PHARMA (PVT.) LTD,2025.0,0.0,38.0,4
SCITECH HEALTH (PVT) LTD.(QnE),2024.0,4590894.27,10391.0,134
SITECH PHARMACEUTICALS (PVT.) LTD.,2024.0,1466964.0,3737.0,24
SITECH PHARMACEUTICALS (PVT.) LTD.,2025.0,1343531.0,8668.0,23
SKY HEALTHCARE LTD,2024.0,781.6,3086.0,8
SKY HEALTHCARE LTD,2025.0,770.0,13833.0,14
SN INTERNATIONAL,2024.0,5620.0,2930.0,11
SN INTERNATIONAL,2025.0,22877.25,11474.0,8
SOMH FF KARACHI,2025.0,577500.0,1989.0,10
