City,Revenue,Trips,RevPerTrip,OpportunityScore,Priority
AGA KHAN HEALTH SERVICES PAKISTAN,0.0,0.0,0.0,40.0,🟢 Good Coverage
AGA KHAN HOSPITAL & MEDICAL COLLEGE,0.0,0.0,0.0,40.0,🟢 Good Coverage
AIM DISTRIBUTOR FAISALABAD,0.0,0.0,0.0,40.0,🟢 Good Coverage
AL MUSTAFA ENTERPRISES,0.0,0.0,0.0,40.0,🟢 Good Coverage
AL RABIE SCIENTIFIC BUREAU,3356.0,0.0,3356.0,40.0,🟢 Good Coverage
ALKHIDMAT HEALTH FOUNDATION,100512.0,0.0,100512.0,40.0,🟢 Good Coverage
ALLONS ENTERPRISES,315684.0,0.0,315684.0,40.0,🟢 Good Coverage
AMETHYST GLOBAL (THAILAND) CO.LTD,75548.0,0.0,75548.0,40.0,🟢 Good Coverage
ASIAN CONTINENTAL (PVT) LIMITED,0.0,0.0,0.0,40.0,🟢 Good Coverage
ASTELA HEALTH CARE (PVT.) LTD.,0.0,0.0,0.0,40.0,🟢 Good Coverage
AVARI TOWERS,0.0,0.0,0.0,40.0,🟢 Good Coverage
Additional Director (MS&DC) DGHS,35797.0,0.0,35797.0,40.0,🟢 Good Coverage
"Allied Hospital, Faisalabad",302856.0,0.0,302856.0,40.0,🟢 Good Coverage
BAHRIA PHARMACY,576458.0,0.0,576458.0,40.0,🟢 Good Coverage
BARRETT HODGSON PAKISTAN (PVT) LTD,0.0,0.0,0.0,40.0,🟢 Good Coverage
BURHAN TRADERS,0.0,0.0,0.0,40.0,🟢 Good Coverage
Barakah Medical Center,3250.0,0.0,3250.0,40.0,🟢 Good Coverage
CANCER CARE PHARMACY,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA ATTOCK,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA BAHAWALNAGAR,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA BAHAWALPUR,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA SARGODHA,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA SIALKOT,0.0,0.0,0.0,40.0,🟢 Good Coverage
MEDSWANA (PTY) LTD,1696.0,0.0,1696.0,40.0,🟢 Good Coverage
HATAY PHARMACEUTICAL JOINT CO.,0.0,0.0,0.0,40.0,🟢 Good Coverage
HOPE & HEALTH MEDICAL STORE,0.0,0.0,0.0,40.0,🟢 Good Coverage
Hamd Distributors,0.0,0.0,0.0,40.0,🟢 Good Coverage
Helix Pharma (Pvt.) Ltd.,0.0,0.0,0.0,40.0,🟢 Good Coverage
Honduras,3916.0,0.0,3916.0,40.0,🟢 Good Coverage
IDL PHARMA DISTRIBUTOR LAHORE,0.0,0.0,0.0,40.0,🟢 Good Coverage
INDUS PHARMA (PVT) LTD,0.0,0.0,0.0,40.0,🟢 Good Coverage
ITMG SEA CO. LTD,9529.0,0.0,9529.0,40.0,🟢 Good Coverage
Ii Hospital),0.0,0.0,0.0,40.0,🟢 Good Coverage
JUNAID MEDICOSE DISTRIBUTORS,0.0,0.0,0.0,40.0,🟢 Good Coverage
ACCESS POINT INT'L TRADING INC.,0.0,0.0,0.0,40.0,🟢 Good Coverage
KARACHI MEDICAL COMPANY,78100.0,0.0,78100.0,40.0,🟢 Good Coverage
KER SOCIEDAD ANONIMA,52511.0,0.0,52511.0,40.0,🟢 Good Coverage
KHAN SEHAT LTD,0.0,0.0,0.0,40.0,🟢 Good Coverage
LABOREX KENYA LIMITED,154.0,0.0,154.0,40.0,🟢 Good Coverage
"LIAQUAT NATIONAL HOSPITAL, KARACHI",0.0,0.0,0.0,40.0,🟢 Good Coverage
LIFE SUPPORT PVT LTD,13117.0,0.0,13117.0,40.0,🟢 Good Coverage
Laborex Ltd,386.0,0.0,386.0,40.0,🟢 Good Coverage
MACTER INTERNATIONAL LTD.,0.0,0.0,0.0,40.0,🟢 Good Coverage
MARTIN DOW LIMITED,19940.0,0.0,19940.0,40.0,🟢 Good Coverage
MARTIN DOW MARKER LTD.,0.0,0.0,0.0,40.0,🟢 Good Coverage
MEDDEC LLC,3057.0,0.0,3057.0,40.0,🟢 Good Coverage
CEO DHA TOBA TEK SINGH,0.0,0.0,0.0,40.0,🟢 Good Coverage
HILTON PHARMA,0.0,0.0,0.0,40.0,🟢 Good Coverage
HASSAAN DISTRIBUTION,115092.0,0.0,115092.0,40.0,🟢 Good Coverage
HARLEY'S LIMITED BURUNDI,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DISTRICT HEALTH AUTHORITY,126659.0,0.0,126659.0,40.0,🟢 Good Coverage
CIC HOLDINGS PLC,162353.0,0.0,162353.0,40.0,🟢 Good Coverage
CRITICARE PHARMACEUTICALS (PVT) LTD,0.0,0.0,0.0,40.0,🟢 Good Coverage
CROWN PHARMACEUTICALS (PVT) LTD,0.0,0.0,0.0,40.0,🟢 Good Coverage
Chemist & Druggist,0.0,0.0,0.0,40.0,🟢 Good Coverage
"Children Hospital, Faisalabad",198047.0,0.0,198047.0,40.0,🟢 Good Coverage
DNS ENTERPRISES,540869.0,0.0,540869.0,40.0,🟢 Good Coverage
DYNAM PHARMA,213704.0,0.0,213704.0,40.0,🟢 Good Coverage
EASA BUSINESS GROUP,0.0,0.0,0.0,40.0,🟢 Good Coverage
ENERGIA PHARMA LTD. KENYA,0.0,0.0,0.0,40.0,🟢 Good Coverage
ENERGIA PHARMA SERVICES NV,42995.0,0.0,42995.0,40.0,🟢 Good Coverage
EXECUTIVE DIRECTOR P.I.M.H. LAHORE,0.0,0.0,0.0,40.0,🟢 Good Coverage
FAISALABAD INST.OF CARDIOLOGY,0.0,0.0,0.0,40.0,🟢 Good Coverage
FAUJI FOUNDATION HOSP. LAHORE,475479.0,0.0,475479.0,40.0,🟢 Good Coverage
FAUJI FOUNDATION HOSP. PESHAWAR,249426.0,0.0,249426.0,40.0,🟢 Good Coverage
FEROZSONS LABORTORIES LTD,0.0,0.0,0.0,40.0,🟢 Good Coverage
GOVT GEN HOSP (FSD TEACHING HOSP),0.0,0.0,0.0,40.0,🟢 Good Coverage
Globe Pharmacy Ltd.,0.0,0.0,0.0,40.0,🟢 Good Coverage
HAQ ENTERPRISES,0.0,0.0,0.0,40.0,🟢 Good Coverage
HARLEY'S LIMITED,11810.0,0.0,11810.0,40.0,🟢 Good Coverage
ZESH LIFE SCIENCE CO. LTD.,0.0,0.0,0.0,40.0,🟢 Good Coverage
Islamabad,415733482.0,943.0,440862.6532343584,35.0,🟢 Good Coverage
Lahore,634011293.0,1566.0,404860.34035759897,29.1,🟢 Good Coverage
